epoch,travel_accuracy,travel_completeness,travel_fluency,travel_prosodic,business_accuracy,business_completeness,business_fluency,business_prosodic,academic_accuracy,academic_completeness,academic_fluency,academic_prosodic
1,0.185,0.0218,0.5558,0.2375,0.2082,0.2263,0.2655,0.2999,0.1907,0.1569,0.3505,0.3019
2,0.1885,0.0042,0.6604,0.1469,0.2404,0.1835,0.32,0.2561,0.101,0.0886,0.4289,0.3814
3,0.3138,0.0032,0.5168,0.1663,0.2931,0.147,0.3536,0.2063,0.067,0.0915,0.3383,0.5032
4,0.3528,0.0018,0.5262,0.1192,0.3439,0.1211,0.3642,0.1708,0.0676,0.0656,0.3018,0.565
5,0.3702,0.0016,0.4785,0.1496,0.3926,0.109,0.3442,0.1542,0.1214,0.0799,0.2927,0.506
6,0.4109,0.0014,0.4606,0.1271,0.4259,0.1065,0.3218,0.1459,0.1825,0.0699,0.2974,0.4503
7,0.405,0.0012,0.4224,0.1714,0.4759,0.0914,0.3048,0.128,0.2373,0.0546,0.2608,0.4474
8,0.4073,0.0012,0.4145,0.1771,0.4584,0.0918,0.3133,0.1365,0.2583,0.0533,0.2558,0.4326
9,0.4225,0.0011,0.3583,0.218,0.4648,0.0933,0.3069,0.135,0.2738,0.0403,0.255,0.4309
10,0.4326,0.0012,0.3541,0.2121,0.497,0.085,0.2904,0.1276,0.2866,0.0421,0.2525,0.4188
11,0.456,0.001,0.3427,0.2002,0.4908,0.0869,0.282,0.1403,0.2963,0.0325,0.2451,0.4262
12,0.4546,0.001,0.3454,0.199,0.4855,0.0826,0.2901,0.1418,0.2949,0.0295,0.2562,0.4194
13,0.4293,0.001,0.3432,0.2266,0.5034,0.0732,0.2845,0.1389,0.3133,0.0283,0.2411,0.4173
14,0.4855,0.001,0.3083,0.2052,0.5054,0.0821,0.2753,0.1372,0.3152,0.0272,0.2429,0.4147
15,0.459,0.001,0.3432,0.1967,0.4947,0.0824,0.2819,0.1411,0.3015,0.0256,0.2407,0.4322
16,0.4407,0.001,0.3496,0.2088,0.4892,0.0734,0.2864,0.1509,0.3043,0.0232,0.2545,0.418
